fpkmX	fpkmY	highlight	gene_short_name
ENSMUSG00000000826	92.8315	90.0923	FALSE	Dnajc5
ENSMUSG00000000827	50.3142	55.5759	FALSE	Tpd52l2
ENSMUSG00000000838	15.6028	23.274	FALSE	Fmr1
ENSMUSG00000000861	55.23	1.245328	FALSE	Bcl11a
ENSMUSG00000000869	1.605224	2.39623	FALSE	Il4
ENSMUSG00000000876	4.45404	6.11698	FALSE	Pxmp4
ENSMUSG00000000881	89.6727	47.1858	FALSE	Dlg3
ENSMUSG00000000884	1.599682	2.32492	FALSE	Gnb1l
ENSMUSG00000000889	1.838381	1	FALSE	Dbh
ENSMUSG00000000901	1.0238309	1	FALSE	Mmp11
ENSMUSG00000000902	22.6858	24.4944	FALSE	Smarcb1
ENSMUSG00000000903	1	1.321721	FALSE	Vpreb3
ENSMUSG00000000915	2.61656	5.33432	FALSE	Hip1r
ENSMUSG00000000916	10.4439	3.28783	FALSE	Nsun5
ENSMUSG00000000934	2.97184	11.7586	FALSE	Top1mt
ENSMUSG00000000938	1	1	FALSE	Hoxa10
ENSMUSG00000000942	1	1	FALSE	Hoxa4
ENSMUSG00000000948	329.137	525.48	FALSE	Snrpn
ENSMUSG00000000957	1	1.0701464	FALSE	Mmp14
ENSMUSG00000000958	1.397289	1.132055	FALSE	Slc7a7
ENSMUSG00000000959	19.0534	10.2277	FALSE	Oxa1l
ENSMUSG00000000976	7.00006	4.36042	FALSE	Heatr6
ENSMUSG00000000982	1	1	FALSE	Ccl3
ENSMUSG00000000983	1	1	FALSE	Expi
ENSMUSG00000001014	4.47444	1.190857	FALSE	Icam4
ENSMUSG00000001016	14.0172	36.3596	FALSE	Ilf2
ENSMUSG00000001017	61.2324	99.5457	FALSE	2500003M10Rik
ENSMUSG00000001018	17.6848	32.0614	FALSE	Snapin
ENSMUSG00000001020	1.10958	2.98213	FALSE	S100a4
ENSMUSG00000001021	1	1.0852857	FALSE	S100a3
ENSMUSG00000001023	1	1	FALSE	S100a5
ENSMUSG00000001025	1.455391	3.1625	FALSE	S100a6
ENSMUSG00000001027	1	1.0166229	FALSE	Scn4a
ENSMUSG00000001029	1.754225	1	FALSE	Icam2
ENSMUSG00000001034	25.1929	8.74393	FALSE	Mapk7
ENSMUSG00000001036	62.181	35.6889	FALSE	Epn2
ENSMUSG00000001039	14.6674	9.72167	FALSE	B9d1
ENSMUSG00000001052	93.6271	20.9818	FALSE	Sec24b
ENSMUSG00000001053	1.0461099	2.80553	FALSE	N4bp3
ENSMUSG00000001054	37.2473	17.3645	FALSE	Rmnd5b
ENSMUSG00000001056	9.61835	26.2493	FALSE	Nhp2
ENSMUSG00000001062	9.64338	8.05696	FALSE	1300018I17Rik
ENSMUSG00000001065	5.45262	4.22789	FALSE	Zfp276
ENSMUSG00000001076	1	1	FALSE	C1ql4
ENSMUSG00000001082	12.7891	7.63289	FALSE	Mfsd10
ENSMUSG00000001089	36.3397	54.3861	FALSE	Luzp1
ENSMUSG00000001095	1	1	FALSE	Slc13a2
ENSMUSG00000001098	15.3653	12.9927	FALSE	Kctd10
ENSMUSG00000001100	21.4718	35.4858	FALSE	Poldip2
ENSMUSG00000001103	6.06451	4.82322	FALSE	Sebox
ENSMUSG00000001105	109.382	72.281	FALSE	Ift20
ENSMUSG00000001119	1.319405	3.51047	FALSE	Col6a1
ENSMUSG00000001120	19.0395	14.1231	FALSE	Pcbp3
ENSMUSG00000001123	1	3.32	FALSE	Lgals9
ENSMUSG00000001127	75.1072	70.1121	FALSE	Araf
ENSMUSG00000001128	3.33399	2.71587	FALSE	Cfp
ENSMUSG00000001131	1	1.0186773	FALSE	Timp1
ENSMUSG00000001134	4.99358	5.57993	FALSE	Uxt
ENSMUSG00000001138	5.85737	4.45692	FALSE	Cnnm3
ENSMUSG00000001143	10.72841	10.77153	FALSE	Lman2l
ENSMUSG00000001150	7.68915	8.06575	FALSE	Mcm3ap
ENSMUSG00000001151	3.33373	3.33775	FALSE	Pcnt
ENSMUSG00000001155	1	1	FALSE	Ftcd
ENSMUSG00000001156	5.2373	4.36857	FALSE	Mxd1
ENSMUSG00000001157	4.972	7.43177	FALSE	Gmcl1
ENSMUSG00000001158	41.1551	40.6327	FALSE	Snrnp27
ENSMUSG00000001166	1.279136	1.0397908	FALSE	Oas1c
